title,snippet,url,published_date,section,subsection
Donald Trump Keeps Pushing Ted Cruz Citizenship Issue,"Donald J. Trump continued to fan the flames of doubt over Senator Ted Cruz’s citizenship, suggesting that the Texas senator’s Canadian roots might be a problem if he won the Republican presidential nomination.",https://www.nytimes.com/politics/first-draft/2016/01/06/donald-trump-keeps-dwelling-on-ted-cruz-citizenship-issue/,2016-01-06T13:55:13+0000,U.S.,Politics
"A Day of Policy, Dropped Guards and Rancor","In a campaign that has been overshadowed and altered by Donald J. Trump, the debate has focused heavily on immigration and on a general disgust with Washington. But Tuesday was a rare day that was thick with policy substance and increased tensions...",https://www.nytimes.com/politics/first-draft/2016/01/06/a-day-of-policy-dropped-guards-and-rancor/,2016-01-06T12:00:59+0000,U.S.,Politics
Avoiding the Dreaded ‘Second-Term Curse’,Political observers say that President Obama appears to have avoided the pitfalls that often undermine a second presidential term.,https://www.nytimes.com/2016/01/06/us/politics/avoiding-the-dreaded-second-term-curse.html,2016-01-06T11:47:18+0000,U.S.,Politics
An Ice Cream Mogul and His Fellow Burlingtonians React to a Trump Rally,"In a liberal enclave fiercely loyal to Bernie Sanders, Burlington’s former mayor, residents were amazed and perplexed by Donald J. Trump’s planned rally on Thursday night.",https://www.nytimes.com/politics/first-draft/2016/01/07/an-ice-cream-mogul-and-his-fellow-burlingtonians-react-to-a-trump-rally/,2016-01-07T23:04:26+0000,U.S.,Politics
"Bill Clinton, Back in Iowa, Refuses to Respond to Donald Trump","Bill Clinton returned to the campaign trail in Iowa, where he shied away from questions about Donald J. Trump but embraced topics like renewable energy and confronting allergies.",https://www.nytimes.com/politics/first-draft/2016/01/07/bill-clinton-back-in-iowa-refuses-to-respond-to-donald-trump/,2016-01-07T22:49:18+0000,U.S.,Politics
Donald Trump Brings Gridlock to Vermont,"Donald J. Trump brought gridlock to Burlington, Vt., as the police braced for an overflow of thousands of political activists who were certain to be shut out from the candidate’s rally.",https://www.nytimes.com/politics/first-draft/2016/01/07/donald-trump-brings-gridlock-to-vermont/,2016-01-07T22:23:31+0000,U.S.,Politics
Ad Wars of 2016 Campaign Erupt in a Changing TV Arena,Candidates and the outside groups supporting them are betting that television ads will remain a crucial political battlefield when signs increasingly suggest otherwise.,https://www.nytimes.com/2016/01/08/us/politics/ad-wars-of-2016-campaign-erupt-in-a-changing-tv-arena.html,2016-01-07T22:13:10+0000,U.S.,Politics
Ted Cruz’s Iowa Bus Tour: Using ‘Star Wars’ to Knock the Democrats,Ted Cruz said that the new “Star Wars” movie was “much more realistic and down-to-earth than whatever the Democrats were talking about” at their last debate.,https://www.nytimes.com/politics/first-draft/2016/01/07/ted-cruzs-iowa-bus-tour-using-star-wars-to-knock-the-democrats/,2016-01-07T21:56:16+0000,U.S.,Politics
Crowd Gathers to Greet Donald Trump in Bernie Sanders Territory,"A crowd of Trump supporters, hecklers and curious observers braved freezing temperatures to get a glimpse of the Republican presidential candidate who dared to set foot upon the traditionally liberal turf of Bernie Sanders.",https://www.nytimes.com/politics/first-draft/2016/01/07/crowd-gathers-to-greet-donald-trump-in-bernie-sanders-territory/,2016-01-07T20:03:50+0000,U.S.,Politics
Ted Cruz’s Iowa Bus Tour: A Momentary Scare,"At a Pizza Ranch in Pocahontas, Iowa, Ted Cruz expressed gratitude about the size of his family, and checked on a woman who briefly fainted, reportedly at the sound of a Democrat’s name.",https://www.nytimes.com/politics/first-draft/2016/01/07/ted-cruzs-iowa-bus-tour-a-momentary-scare/,2016-01-07T19:54:37+0000,U.S.,Politics
"Planned Parenthood, in Its First Primary Endorsement, Backs Hillary Clinton",Planned Parenthood said that it would endorse Hillary Clinton — its first endorsement in a presidential primary in the nonprofit’s 100-year existence.,https://www.nytimes.com/politics/first-draft/2016/01/07/planned-parenthood-in-its-first-primary-endorsement-backs-hillary-clinton/,2016-01-07T19:42:24+0000,U.S.,Politics
Marco Rubio Reacts to Those Boots That Were Made for Talking,Senator Marco Rubio of Florida seemed both disgusted and amused by the worldwide attention that have bee given to his sleek high-heel boots.,https://www.nytimes.com/politics/first-draft/2016/01/07/marco-rubio-reacts-to-those-boots-that-were-made-for-talking/,2016-01-07T18:53:49+0000,U.S.,Politics
Marco Rubio Aims New TV Ad at Iowa’s Evangelical Voters,"Senator Marco Rubio of Florida, a Roman Catholic, addresses his faith in the ad as he tries to slow the momentum of Senator Ted Cruz in Iowa.",https://www.nytimes.com/2016/01/08/us/politics/marco-rubio-aims-new-tv-ad-at-iowas-evangelical-voters.html,2016-01-07T17:39:23+0000,U.S.,Politics
"Chelsea Clinton, Again Her Mother’s Surrogate, Takes Up the Fight Against Bernie Sanders","In returning to the presidential campaign trail for the first time since 2008, Chelsea Clinton focused on motherhood and attacked Senator Bernie Sanders over his health care and education proposals.",https://www.nytimes.com/politics/first-draft/2016/01/12/chelsea-clinton-again-her-mothers-surrogate-takes-up-the-fight-against-bernie-sanders/,2016-01-12T23:46:42+0000,U.S.,Politics
Hillary Clinton’s Lead Over Bernie Sanders Slipping in New Poll,"A New York Times/CBS News poll finds a sharp generational divide within the Democratic Party, with voters under 45 favoring Mr. Sanders.",https://www.nytimes.com/2016/01/13/us/politics/hillary-clintons-lead-over-bernie-sanders-slipping-in-new-poll.html,2016-01-12T23:31:36+0000,U.S.,Politics
How the Poll Was Conducted,"The latest New York Times/CBS News Poll is based on telephone interviews conducted Jan. 7 through 10 with 1,276 adults throughout the United States. Of those, 1,094 said they were registered to vote.",https://www.nytimes.com/2016/01/13/us/politics/how-the-poll-was-conducted.html,2016-01-12T23:31:31+0000,U.S.,Politics
A New York Times/CBS News Poll on the State of the Presidential Race,The latest New York Times/CBS News national poll finds a significant narrowing of the race for the Democratic nomination while Donald Trump maintains his sizable lead among Republican primary voters.,https://www.nytimes.com/interactive/2016/01/12/us/politics/document-poll-elections.html,2016-01-12T23:31:26+0000,U.S.,Politics
PAC Backing Jeb Bush Counters Campaign Message With Ad Critical of Marco Rubio,"While Jeb Bush is portraying himself as a serious candidate for serious times, the “super PAC” supporting him is running attack ads against Marco Rubio.",https://www.nytimes.com/politics/first-draft/2016/01/12/pac-backing-jeb-bush-counters-campaign-message-with-ad-critical-of-marco-rubio/,2016-01-12T22:27:24+0000,U.S.,Politics
Hillary Clinton Accuses Bernie Sanders of Not Standing Up to Gun Lobby,"Hillary Clinton, appearing with the president of the Brady Campaign to Prevent Gun Violence, attacked Bernie Sanders on his 2005 vote to shield gunmakers from lawsuits.",https://www.nytimes.com/politics/first-draft/2016/01/12/hillary-clinton-accuses-bernie-sanders-of-not-standing-up-to-gun-lobby/,2016-01-12T19:37:47+0000,U.S.,Politics
Chelsea Clinton Campaigns for Hillary,"Chelsea Clinton told an audience in Concord, N.H., that becoming a grandmother has made Hillary Clinton more determined.",https://www.nytimes.com/video/us/politics/100000004140034/chelsea-clinton-campaigns-for-hillary.html,2016-01-12T19:08:36+0000,U.S.,Politics
Hillary Clinton Gets Backing of Food Services Union,"The United Food and Commercial Workers Union will endorse Hillary Clinton, giving the Democratic candidate a welcome boost as polls in Iowa and New Hampshire show Senator Bernie Sanders gaining ground.",https://www.nytimes.com/politics/first-draft/2016/01/12/hillary-clinton-gets-backing-of-food-services-union/,2016-01-12T18:40:26+0000,U.S.,Politics
Ad Backing Jeb Bush Calls Marco Rubio Untrustworthy on Immigration,"Right to Rise, the “super PAC” supporting Jeb Bush, has released its third negative ad criticizing Senator Marco Rubio, this time attacking him over his record on immigration.",https://www.nytimes.com/2016/01/13/us/politics/ad-backing-jeb-bush-calls-marco-rubio-untrustworthy-on-immigration.html,2016-01-12T18:30:44+0000,U.S.,Politics
Supreme Court Strikes Down Part of Florida Death Penalty,A court majority ruled that juries were not given sufficient say over which inmates should be put to death.,https://www.nytimes.com/2016/01/13/us/politics/supreme-court-death-penalty-hurst-v-florida.html,2016-01-12T18:30:14+0000,U.S.,Politics
Republicans Lead Congress With Two Distinct Agendas,"Secure in his leadership, Speaker Paul D. Ryan has embraced an ambitious agenda, while his counterpart in the Senate, Mitch McConnell, keeps an eye on his tenuous majority.",https://www.nytimes.com/2016/01/14/us/politics/republicans-lead-congress-with-two-distinct-agendas.html,2016-01-13T23:47:15+0000,U.S.,Politics
Ted Cruz Didn’t Report Goldman Sachs Loan in a Senate Race,"As Mr. Cruz tells it, loyalty and sacrifice helped finance his 2012 Senate bid in Texas. Turns out, a Goldman Sachs loan did as well.",https://www.nytimes.com/2016/01/14/us/politics/ted-cruz-wall-street-loan-senate-bid-2012.html,2016-01-13T23:40:26+0000,U.S.,Politics
"Hillary Clinton and Bernie Sanders Intensify Fight over Health, Guns and Costs",Mr. Sanders hit back on Wednesday as Mrs. Clinton continued to assail his positions on health insurance and gun control.,https://www.nytimes.com/politics/first-draft/2016/01/13/hillary-clinton-and-bernie-sanders-intensify-fight-over-health-guns-and-costs/,2016-01-13T22:49:54+0000,U.S.,Politics
"Hillary Clinton Ad Seconds Obama on Guns, Rebuking Bernie Sanders","In the new 30-second clip, Mrs. Clinton cites her support for the president’s gun-control measures, a indirect reminder of what she has called Mr. Sanders’s reluctance to stand up to the gun industry.",https://www.nytimes.com/2016/01/14/us/politics/hillary-clinton-ad-seconds-obama-on-guns-rebuking-bernie-sanders.html,2016-01-13T22:27:41+0000,U.S.,Politics
Justices Hear Case Over Puerto Rico’s Sovereignty,"The Supreme Court is deciding whether the island is an independent sovereign or a territory, a huge matter of pride and politics.",https://www.nytimes.com/2016/01/14/us/politics/justices-hear-case-over-puerto-ricos-sovereignty.html,2016-01-13T22:08:20+0000,U.S.,Politics
"Steve King Faults Nikki Haley’s Conservatism, but Not Her Looks","While Representative Steve King said he doubted whether Gov. Nikki Haley was a “principled conservative,” he thought she was “beautiful” enough to be the face of the Republican Party.",https://www.nytimes.com/politics/first-draft/2016/01/13/steve-king-faults-nikki-haleys-conservatism-but-not-her-looks/,2016-01-13T21:38:13+0000,U.S.,Politics
‘Super PAC’ Backing Jeb Bush Uses Conspiracy-Minded Journalist in Ad,A journalist who has highlighted conspiracy theories about major news events is quoted in an ad by the “super PAC” supporting Jeb Bush.,https://www.nytimes.com/politics/first-draft/2016/01/13/super-pac-backing-jeb-bush-uses-conspiracy-minded-journalist-in-ad/,2016-01-13T21:06:02+0000,U.S.,Politics
Paul Ryan Cuts Off Iran Vote in Rebuff to Tardy Lawmakers,"After the House passed legislation bolstering sanctions against Iran, Republican leaders called for a do-over because more than 100 members had not voted.",https://www.nytimes.com/politics/first-draft/2016/01/13/paul-ryan-cuts-off-iran-vote-in-rebuff-to-tardy-lawmakers/,2016-01-13T20:34:38+0000,U.S.,Politics
Donald Trump’s Iowa Ground Game Seems to Be Missing a Coach,"Mr. Trump may well win the caucuses, but if he does, it will probably be in spite of his organizing team, which is still committing basic organizing errors.",https://www.nytimes.com/2016/01/14/us/politics/donald-trumps-iowa-ground-game-seems-to-be-missing-a-coach.html,2016-01-13T19:29:30+0000,U.S.,Politics
Chris Christie Welcomes Attacks as a Sign of His Strength,"“I love the fact that people are shooting at me,” Gov. Chris Christie, while campaigning in New Hampshire, said of political opponents’ attacks on him.",https://www.nytimes.com/politics/first-draft/2016/01/13/chris-christie-welcomes-attacks-as-a-sign-of-his-strength/,2016-01-13T18:55:20+0000,U.S.,Politics
Hillary Clinton’s Campaign Outraged by Bernie Sanders Ad on Wall Street,Hillary Clinton’s aides expressed outrage over a Bernie Sanders ad that they said violated Mr. Sanders’s pledge to never run a negative attack ad against a political opponent.,https://www.nytimes.com/politics/first-draft/2016/01/14/hillary-clintons-campaign-outraged-by-bernie-sanders-ad-on-wall-street/,2016-01-14T23:21:57+0000,U.S.,Politics
